stud_id,first_name,middle_name,last_name,valid_from,valid_to,latest,version_no
68,Ninnette,Kingh,Braghini,9/19/2019,till date,TRUE,1
69,,,,11/14/2019,till date,TRUE,1
70,Cristina,Fludder,Bengall,12/3/2019,till date,TRUE,1
71,Evan,Seldner,Bover,7/10/2019,till date,TRUE,1
72,Rhonda,Gaspero,Bravery,3/3/2020,till date,TRUE,1
73,,,,1/27/2020,till date,TRUE,1
74,Christoffer,Matussevich,Walthew,1/26/2020,till date,TRUE,1
75,Lula,Brookson,Pitkaithly,4/17/2020,till date,TRUE,1
76,Ephrem,Da Costa,Varsey,5/2/2020,till date,TRUE,1
77,Bartlett,Sanday,Lazarus,11/5/2019,till date,TRUE,1
78,Sebastien,Apfler,Cantero,1/29/2020,till date,TRUE,1
79,,,,7/11/2019,till date,TRUE,1
80,Corette,Lennox,Novelli,4/14/2020,till date,TRUE,1
81,,,,1/18/2020,till date,TRUE,1
82,Cleavland,Varker,Vaz,11/7/2019,till date,TRUE,1
83,Wynnie,Cunningham,Martyns,10/30/2019,till date,TRUE,1
84,Leonard,Hesey,Brunner,6/3/2019,till date,TRUE,1
85,Gael,Grimwood,Curston,3/1/2020,till date,TRUE,1
86,,,,8/13/2019,till date,TRUE,1
87,Klement,Demeza,Pavelka,5/6/2020,till date,TRUE,1
88,Corbett,Harroway,Juden,3/24/2020,till date,TRUE,1
89,,,,6/16/2019,till date,TRUE,1
90,,,,1/22/2020,till date,TRUE,1
91,Floria,Maddyson,Brugemann,3/28/2020,till date,TRUE,1
92,,,,6/14/2019,till date,TRUE,1
93,Eryn,Gullick,Gozney,7/30/2019,till date,TRUE,1
94,Tatum,McCrann,Zohrer,7/8/2019,till date,TRUE,1
95,Alameda,Von Der Empten,Sulland,7/17/2019,till date,TRUE,1
96,Hunfredo,McKeurton,Gatus,8/23/2019,till date,TRUE,1
97,,,,12/31/2019,till date,TRUE,1
98,Delcine,Kissick,Sybe,10/8/2019,till date,TRUE,1
99,Maxim,Ferie,Sturge,6/24/2019,till date,TRUE,1
100,,,,7/16/2019,till date,TRUE,1
101,Sheelagh,Braiden,Booeln,12/4/2019,till date,TRUE,1
102,Maxine,Gritland,Oggers,7/18/2019,till date,TRUE,1
103,Wiatt,Kent,Kirkwood,3/11/2020,till date,TRUE,1
104,Jacinda,Mix,Lord,6/18/2019,till date,TRUE,1
105,Edie,Shortall,Pittem,10/4/2019,till date,TRUE,1
106,Ibby,Turl,Beamond,8/28/2019,till date,TRUE,1
107,,,,12/4/2019,till date,TRUE,1
108,Sanders,Vogl,Dimitriou,1/4/2020,till date,TRUE,1
109,Aldus,Faldo,Clausner,2/18/2020,till date,TRUE,1
110,Octavia,Fish,Jowers,8/2/2019,till date,TRUE,1
111,Beau,Emor,Rihosek,5/12/2020,till date,TRUE,1
112,,,,10/24/2019,till date,TRUE,1
113,Sigfrid,Compston,Nerval,7/14/2019,till date,TRUE,1
114,Bobbe,Guiet,Maddern,1/4/2020,till date,TRUE,1
115,Olenka,Le Franc,Aulsford,12/26/2019,till date,TRUE,1
116,,,,4/25/2020,till date,TRUE,1
117,,,,8/18/2019,till date,TRUE,1
118,Sansone,Cristofaro,Kelle,4/20/2020,till date,TRUE,1
119,Pacorro,Ogles,Morfett,7/17/2019,till date,TRUE,1
120,Martina,Moretto,Minifie,7/2/2019,till date,TRUE,1
121,Shell,Gussin,Rediers,6/7/2019,till date,TRUE,1
122,Ephraim,Cowlin,Roja,1/11/2020,till date,TRUE,1
123,Mathe,Pigot,Perassi,2/2/2020,till date,TRUE,1
124,Efren,Wimp,Roelofsen,6/26/2019,till date,TRUE,1
125,Edee,Hollidge,Kempster,12/1/2019,till date,TRUE,1
126,Kip,Bush,Hartgill,7/27/2019,till date,TRUE,1
127,Padgett,Tordoff,Wilkowski,10/24/2019,till date,TRUE,1
128,Georgeanne,Hort,Chimes,7/25/2019,till date,TRUE,1
129,Thomasin,Keat,Nelius,4/5/2020,till date,TRUE,1
130,,,,4/14/2020,till date,TRUE,1
131,Jan,Mackison,Fronzek,11/28/2019,till date,TRUE,1
132,Kenton,Langstone,Friend,6/23/2019,till date,TRUE,1
133,,,,3/4/2020,till date,TRUE,1
134,,,,11/8/2019,till date,TRUE,1
135,Leontyne,Yosselevitch,Brands,4/23/2020,till date,TRUE,1
136,Hube,Rumbellow,Volett,4/26/2020,till date,TRUE,1
137,Alvina,Van Castele,Hatchman,2/8/2020,till date,TRUE,1
138,Lisabeth,Sneath,Simonutti,1/11/2020,till date,TRUE,1
139,Maximilianus,Cuthill,Conman,1/10/2020,till date,TRUE,1
140,,,,6/12/2019,till date,TRUE,1
141,,,,5/2/2020,till date,TRUE,1
142,Aileen,Summerson,Lumsdon,10/15/2019,till date,TRUE,1
143,,,,12/13/2019,till date,TRUE,1
144,Siward,Sifleet,Adamoli,8/1/2019,till date,TRUE,1
145,Nonna,Kenningham,Grimsdith,11/28/2019,till date,TRUE,1
146,Tate,Collins,Tydeman,12/12/2019,till date,TRUE,1
147,Cahra,Creevy,Rochester,4/1/2020,till date,TRUE,1
148,,,,12/15/2019,till date,TRUE,1
149,Frasier,Skilling,McQuarrie,8/10/2019,till date,TRUE,1
150,Jsandye,Carss,Vaissiere,3/31/2020,till date,TRUE,1
151,Joell,McGirl,Baudic,10/18/2019,till date,TRUE,1
152,Garth,Hugo,Linton,5/19/2020,till date,TRUE,1
153,Heida,Brunel,Arnatt,5/19/2020,till date,TRUE,1
154,Yankee,Nuzzi,Wickrath,8/28/2019,till date,TRUE,1
155,,,,7/10/2019,till date,TRUE,1
156,Upton,Engall,Casiroli,2/15/2020,till date,TRUE,1
157,Bevon,Yerrington,Banbridge,2/9/2020,till date,TRUE,1
158,Kit,MacQueen,Pealing,7/19/2019,till date,TRUE,1
159,Delores,Maden,Hatry,9/26/2019,till date,TRUE,1
160,Benjie,Wimpey,Borrett,10/28/2019,till date,TRUE,1
161,Shelley,Easson,Maasz,3/24/2020,till date,TRUE,1
162,Emlyn,Fellini,Center,2/13/2020,till date,TRUE,1
163,Wyatt,Jakubowsky,Gonnin,8/10/2019,till date,TRUE,1
164,,,,6/15/2019,till date,TRUE,1
165,Brandie,Dyde,McKeowon,8/15/2019,till date,TRUE,1
166,Elizabeth,Smeed,Gracey,1/18/2020,till date,TRUE,1
167,Ethyl,Charter,Dunthorne,6/5/2019,till date,TRUE,1
168,,,,2/1/2020,till date,TRUE,1
169,Chick,Kinchley,Albone,8/2/2019,till date,TRUE,1
170,Nat,Laye,Roset,5/19/2020,till date,TRUE,1
171,Jolene,Kelf,McAvey,12/28/2019,till date,TRUE,1
172,Erastus,Hobson,Lafond,5/6/2020,till date,TRUE,1
173,Mommy,Rolston,McClymond,9/8/2019,till date,TRUE,1
174,,,,3/17/2020,till date,TRUE,1
175,Melantha,Dunmore,Barley,4/5/2020,till date,TRUE,1
176,Rachael,Semmence,Grestie,11/6/2019,till date,TRUE,1
177,Tiffanie,Hoggan,Ledgley,8/15/2019,till date,TRUE,1
178,Jedd,Belford,Shemming,1/14/2020,till date,TRUE,1
179,,,,3/13/2020,till date,TRUE,1
180,Von,Hagger,Graddell,11/20/2019,till date,TRUE,1
181,Hewett,Chislett,Watting,12/18/2019,till date,TRUE,1
182,Boot,Cleminson,McCard,3/7/2020,till date,TRUE,1
183,,,,6/11/2019,till date,TRUE,1
184,Joela,MacKintosh,Fellos,9/25/2019,till date,TRUE,1
185,Killian,Shrimptone,Lilloe,6/9/2019,till date,TRUE,1
186,Berta,Carlsen,Madre,11/21/2019,till date,TRUE,1
187,Heloise,Warrier,Savary,1/22/2020,till date,TRUE,1
188,Micah,Duffrie,Matyushkin,7/11/2019,till date,TRUE,1
189,Tamera,Hattam,Jenoure,8/17/2019,till date,TRUE,1
190,Chicky,Donkersley,Middlemiss,11/27/2019,till date,TRUE,1
191,Ellsworth,Weddup,Dunster,8/30/2019,till date,TRUE,1
192,Celeste,Vernham,Gowrie,7/9/2019,till date,TRUE,1
193,Gale,Biermatowicz,McGeoch,4/22/2020,till date,TRUE,1
194,Mei,Chattelaine,Spiers,3/24/2020,till date,TRUE,1
195,Kristina,Hedditch,Eyres,6/27/2019,till date,TRUE,1
196,,,,12/31/2019,till date,TRUE,1
197,,,,6/30/2019,till date,TRUE,1
198,,,,7/28/2019,till date,TRUE,1
199,Shane,Redihalgh,Scotti,8/2/2019,till date,TRUE,1
200,Krysta,McPike,Piola,9/4/2019,till date,TRUE,1
201,Hansiain,Sharple,Surmeir,1/24/2020,till date,TRUE,1
202,,,,3/2/2020,till date,TRUE,1
203,Leese,Deniset,Frost,1/3/2020,till date,TRUE,1
204,Lucina,Beumant,Claricoates,7/21/2019,till date,TRUE,1
205,Waldo,Oene,Pratley,4/30/2020,till date,TRUE,1
206,Aggy,Favey,Cubbini,5/9/2020,till date,TRUE,1
207,,,,11/30/2019,till date,TRUE,1
208,Brit,Pooly,Trayte,1/22/2020,till date,TRUE,1
209,Zachary,Souttar,Wohler,4/29/2020,till date,TRUE,1
210,Franni,Spens,Gedney,12/26/2019,till date,TRUE,1
211,Borden,Kearey,Sedge,8/3/2019,till date,TRUE,1
212,Shurlock,Diver,Vicker,7/14/2019,till date,TRUE,1
213,Evangeline,McCreery,Etches,9/30/2019,till date,TRUE,1
214,Jere,Jakel,Gregoraci,12/9/2019,till date,TRUE,1
215,Cyndy,Bulley,Mackneis,1/4/2020,till date,TRUE,1
216,Morgen,Fidian,Teal,6/13/2019,till date,TRUE,1
217,Bili,Ximenez,Embury,5/6/2020,till date,TRUE,1
218,Abram,Brownbridge,MacFadin,2/16/2020,till date,TRUE,1
219,Katinka,Grinsted,Bestman,8/13/2019,till date,TRUE,1
220,Rhodia,Boldero,Van Leijs,2/10/2020,till date,TRUE,1
221,Rois,Presslee,Wincom,5/9/2020,till date,TRUE,1
222,Claudetta,Nerger,Willcott,6/6/2019,till date,TRUE,1
223,Ediva,Hilhouse,Bogaert,6/16/2019,till date,TRUE,1
224,,,,6/25/2019,till date,TRUE,1
225,Stella,Osinin,Seeborne,9/10/2019,till date,TRUE,1
226,Antonino,O'Hannay,Gowan,9/13/2019,till date,TRUE,1
227,,,,1/7/2020,till date,TRUE,1
228,Alysia,Geekin,Fick,8/27/2019,till date,TRUE,1
229,Isabelita,Bunney,Leitch,7/11/2019,till date,TRUE,1
230,Loise,Vlasyev,Roels,12/3/2019,till date,TRUE,1
231,,,,7/17/2019,till date,TRUE,1
232,Ignaz,Plues,Cotterrill,10/15/2019,till date,TRUE,1
233,Sheba,Pritchitt,Beatty,11/18/2019,till date,TRUE,1
234,Saloma,Widdecombe,Savil,9/27/2019,till date,TRUE,1
235,Veronica,Moles,Oller,5/18/2020,till date,TRUE,1
236,Ingrim,Balwin,Messiter,8/23/2019,till date,TRUE,1
237,,,,7/4/2019,till date,TRUE,1
238,Elianora,Blaxeland,Deverale,6/16/2019,till date,TRUE,1
239,Tabbie,Waterson,Kosel,7/2/2019,till date,TRUE,1
240,Gianina,Bravington,Mallalieu,1/30/2020,till date,TRUE,1
241,Patton,Kitchin,Warfield,2/9/2020,till date,TRUE,1
242,Zarah,Mion,MacCaffrey,5/16/2020,till date,TRUE,1
243,Myra,Bollard,Josefer,2/11/2020,till date,TRUE,1
244,Franny,Klugel,Ainslee,1/17/2020,till date,TRUE,1
245,Lucho,Gaspard,Durante,9/8/2019,till date,TRUE,1
246,Sergei,Jurisch,Balstone,10/11/2019,till date,TRUE,1
247,Dee dee,Ellis,Dinning,6/13/2019,till date,TRUE,1
248,Whitaker,Kuhlen,Colleymore,7/19/2019,till date,TRUE,1
249,Janeen,Castagnasso,Franciotti,1/31/2020,till date,TRUE,1
250,Adolpho,MacMillan,Mushawe,12/28/2019,till date,TRUE,1
251,Terrill,Spur,Cudd,3/16/2020,till date,TRUE,1
252,Joelly,Jobin,Tuckett,6/23/2019,till date,TRUE,1
253,,,,11/20/2019,till date,TRUE,1
254,,,,7/27/2019,till date,TRUE,1
255,Cory,Boulds,Leefe,9/21/2019,till date,TRUE,1
256,,,,2/20/2020,till date,TRUE,1
257,Hollie,De Clairmont,Philips,3/24/2020,till date,TRUE,1
258,Moyra,Gilbertson,Drance,7/1/2019,till date,TRUE,1
259,Meagan,Rieflin,Swinyard,1/11/2020,till date,TRUE,1
260,,,,7/1/2019,till date,TRUE,1
261,Oberon,Quinnelly,Romans,12/25/2019,till date,TRUE,1
262,Amalie,Malbon,Chessil,2/21/2020,till date,TRUE,1
263,Tate,Crosio,Allder,6/21/2019,till date,TRUE,1
264,Wyatan,McGeraghty,Espadero,6/30/2019,till date,TRUE,1
265,Celestina,Ouchterlony,Littlechild,1/29/2020,till date,TRUE,1
266,Ora,Mixon,Fosberry,1/25/2020,till date,TRUE,1
267,,,,8/30/2019,till date,TRUE,1
268,Erda,Hardy-Piggin,Djurdjevic,6/6/2019,till date,TRUE,1
269,Frans,Roxburch,Candwell,10/11/2019,till date,TRUE,1
270,Koo,Van T'Hoog,Jaszczak,9/5/2019,till date,TRUE,1
271,Cyril,Playfair,Freke,12/25/2019,till date,TRUE,1
272,,,,5/24/2019,till date,TRUE,1
273,Melony,Varlow,Crossfeld,4/23/2020,till date,TRUE,1
274,Iolande,Iacovolo,Walentynowicz,11/4/2019,till date,TRUE,1
275,Karlyn,Stairmond,Nern,7/12/2019,till date,TRUE,1
276,Alyse,Fahy,Eva,7/12/2019,till date,TRUE,1
277,Sheffy,Lansly,Byfield,1/12/2020,till date,TRUE,1
278,Anatola,Ruslinge,Jaeggi,6/6/2019,till date,TRUE,1
279,Ferguson,Ligoe,Hubbert,11/18/2019,till date,TRUE,1
280,Sharia,Pelz,Nestle,11/25/2019,till date,TRUE,1
281,Sallyann,Cale,Phizackarley,12/25/2019,till date,TRUE,1
282,Prissie,Hargreves,Willoughley,5/7/2020,till date,TRUE,1
283,Paddy,Nixon,O'Flaherty,3/10/2020,till date,TRUE,1
284,Michaella,Aggio,Valiant,9/24/2019,till date,TRUE,1
285,,,,9/21/2019,till date,TRUE,1
286,Clevey,Gutch,Trenear,3/2/2020,till date,TRUE,1
287,Delila,Metterick,Vedntyev,6/13/2019,till date,TRUE,1
288,Theressa,Renison,Vella,7/30/2019,till date,TRUE,1
289,Elna,Kleinplac,Lathwood,6/19/2019,till date,TRUE,1
290,Clemmie,Janning,Lyttle,4/23/2020,till date,TRUE,1
291,Anna,Misselbrook,Doniso,11/27/2019,till date,TRUE,1
292,,,,4/14/2020,till date,TRUE,1
293,Tomi,Gozney,Andrei,2/6/2020,till date,TRUE,1
294,,,,9/22/2019,till date,TRUE,1
295,,,,12/2/2019,till date,TRUE,1
296,Cesya,Halsworth,Iaduccelli,10/23/2019,till date,TRUE,1
297,Joellyn,Liddon,Durman,3/16/2020,till date,TRUE,1
298,,,,12/28/2019,till date,TRUE,1
299,Wandis,Nann,Davidesco,4/13/2020,till date,TRUE,1
300,,,,12/17/2019,till date,TRUE,1
301,Erasmus,Lincoln,Segar,9/12/2019,till date,TRUE,1
302,Tom,Doohey,Oseland,2/13/2020,till date,TRUE,1
303,Hank,Gomme,Scandwright,11/13/2019,till date,TRUE,1
304,Any,Leipnik,Chew,4/4/2020,till date,TRUE,1
305,,,,9/26/2019,till date,TRUE,1
306,Sherie,Ible,Paxton,9/19/2019,till date,TRUE,1
307,Aleece,Confait,Reisk,8/10/2019,till date,TRUE,1
308,Gardiner,Blakelock,Newens,8/5/2019,till date,TRUE,1
309,Caz,Ternouth,Campbell-Dunlop,10/10/2019,till date,TRUE,1
310,Valli,Skellern,Andrei,1/18/2020,till date,TRUE,1
311,Leodora,Blasl,Booton,12/28/2019,till date,TRUE,1
312,Danell,Wynch,Drieu,1/19/2020,till date,TRUE,1
313,Rubie,Castelin,Kleisle,10/6/2019,till date,TRUE,1
314,Becky,David,Whiles,7/28/2019,till date,TRUE,1
315,Tammi,Moodycliffe,Jikylls,9/27/2019,till date,TRUE,1
316,,,,11/25/2019,till date,TRUE,1
317,Deena,Flannery,Courage,10/20/2019,till date,TRUE,1
318,Christina,des Remedios,Ewenson,1/23/2020,till date,TRUE,1
319,Hale,Burkitt,Flecknell,8/12/2019,till date,TRUE,1
320,Tito,O' Mulderrig,Sammes,10/14/2019,till date,TRUE,1
321,Daveta,Allibon,Hyatt,7/4/2019,till date,TRUE,1
322,Babita,Thody,Seacroft,2/16/2020,till date,TRUE,1
323,Lelah,Dilrew,Brockton,2/1/2020,till date,TRUE,1
324,Salim,Sinyard,Awcock,12/12/2019,till date,TRUE,1
325,Jerrilyn,Bunce,Gilliat,3/5/2020,till date,TRUE,1
326,Artemis,Botha,Balaison,5/16/2020,till date,TRUE,1
327,Inger,Tripp,Hofler,1/7/2020,till date,TRUE,1
328,,,,11/9/2019,till date,TRUE,1
329,,,,5/27/2019,till date,TRUE,1
330,Krissy,Fincher,Gillian,5/13/2020,till date,TRUE,1
331,Marty,Kenwrick,Bastock,3/6/2020,till date,TRUE,1
332,Mandi,Ramelet,Woolgar,8/10/2019,till date,TRUE,1
333,Hildegarde,Auston,Castelli,9/25/2019,till date,TRUE,1
334,,,,6/7/2019,till date,TRUE,1
335,,,,3/3/2020,till date,TRUE,1
336,Janka,Boays,Coskerry,2/7/2020,till date,TRUE,1
337,,,,4/15/2020,till date,TRUE,1
338,Maridel,Dannatt,Joselin,8/6/2019,till date,TRUE,1
339,Chaim,O'Keevan,Cowe,5/27/2019,till date,TRUE,1
340,Mano,Peasee,Kondratowicz,6/7/2019,till date,TRUE,1
341,Taddeo,Janik,Milburn,12/8/2019,till date,TRUE,1
342,Mile,Posnette,Pickin,4/10/2020,till date,TRUE,1
343,Antonie,Veltmann,Jump,1/7/2020,till date,TRUE,1
344,Buddie,Comiam,Brundell,7/25/2019,till date,TRUE,1
345,,,,6/6/2019,till date,TRUE,1
346,,,,5/4/2020,till date,TRUE,1
347,Oralle,Durdy,Simonetti,7/19/2019,till date,TRUE,1
348,Torrie,Tiner,Conibeer,8/13/2019,till date,TRUE,1
349,Merilee,Presdee,Benkin,5/13/2020,till date,TRUE,1
350,Melisse,Chorlton,Ryott,11/14/2019,till date,TRUE,1
351,Baxter,Kulicke,Esposita,3/27/2020,till date,TRUE,1
352,Merv,Layne,Burrill,12/5/2019,till date,TRUE,1
353,,,,12/31/2019,till date,TRUE,1
354,Tadeas,Glassup,Gadd,1/16/2020,till date,TRUE,1
355,Aldridge,Vanyutin,Morrilly,7/6/2019,till date,TRUE,1
356,Morly,Fierman,Narducci,10/16/2019,till date,TRUE,1
357,,,,1/16/2020,till date,TRUE,1
358,Ibbie,Forder,Michell,7/29/2019,till date,TRUE,1
359,Lena,Dives,Siuda,1/9/2020,till date,TRUE,1
360,,,,10/31/2019,till date,TRUE,1
361,Rorke,Jeandin,Conkie,1/24/2020,till date,TRUE,1
362,Margi,Norster,Groll,4/12/2020,till date,TRUE,1
363,Martyn,Dotterill,Prinnett,2/18/2020,till date,TRUE,1
364,Whitaker,Knowlson,Orford,8/19/2019,till date,TRUE,1
365,,,,9/11/2019,till date,TRUE,1
366,,,,12/21/2019,till date,TRUE,1
367,Winslow,Hurlestone,Henrie,12/21/2019,till date,TRUE,1
368,Johny,Ribbon,McEnteggart,12/21/2019,till date,TRUE,1
369,York,Klasen,Mannock,1/25/2020,till date,TRUE,1
370,,,,3/4/2020,till date,TRUE,1
371,Charla,Boarer,Rimmer,10/1/2019,till date,TRUE,1
372,Camala,Casewell,Mundell,5/13/2020,till date,TRUE,1
373,Carmelia,Veitch,Preuvost,7/19/2019,till date,TRUE,1
374,Norina,Hudless,Heis,8/26/2019,till date,TRUE,1
375,Myrna,MacDermand,Lawerence,12/12/2019,till date,TRUE,1
376,,,,7/6/2019,till date,TRUE,1
377,Ogdan,Praton,Bovaird,5/3/2020,till date,TRUE,1
378,Kahaleel,Timson,Liggens,3/4/2020,till date,TRUE,1
379,,,,8/28/2019,till date,TRUE,1
380,Montague,Downe,Glackin,10/30/2019,till date,TRUE,1
381,Ainsley,Frotton,Kaine,12/17/2019,till date,TRUE,1
382,Porter,Ianilli,Stodd,10/2/2019,till date,TRUE,1
383,Nikita,Collete,Balderstone,7/4/2019,till date,TRUE,1
384,Tracey,Kunert,Walsom,12/21/2019,till date,TRUE,1
385,Sarene,Brownfield,Fromant,5/26/2019,till date,TRUE,1
386,Kelbee,Wharrier,Brereton,10/4/2019,till date,TRUE,1
387,Ransom,Gauchier,Skeleton,11/25/2019,till date,TRUE,1
388,Robert,Furmonger,Henighan,6/5/2019,till date,TRUE,1
389,Terra,Feavers,Jepson,11/27/2019,till date,TRUE,1
390,Gwenni,Gronaller,Kirkam,11/23/2019,till date,TRUE,1
391,Caitlin,Tobias,Seamen,9/22/2019,till date,TRUE,1
392,Ulrich,Reeders,Stearn,4/13/2020,till date,TRUE,1
393,,,,1/21/2020,till date,TRUE,1
394,Glenda,Gallety,Dutton,4/2/2020,till date,TRUE,1
395,Hall,Gower,Gaish,3/25/2020,till date,TRUE,1
396,Anselma,Fiddler,Firsby,1/3/2020,till date,TRUE,1
397,Bryant,Pilbury,O'Shiels,9/25/2019,till date,TRUE,1
398,Paten,Murrey,Hoult,5/6/2020,till date,TRUE,1
399,Cairistiona,Naisbitt,Wilson,2/3/2020,till date,TRUE,1
400,Nat,Simacek,Lafford,10/17/2019,till date,TRUE,1
401,Colene,Gallehock,Ibbitt,4/15/2020,till date,TRUE,1
402,Adlai,Woodhead,Josselsohn,5/26/2019,till date,TRUE,1
403,Erin,Gorstidge,Walden,12/7/2019,till date,TRUE,1
404,Claresta,Botwright,Karlicek,7/6/2019,till date,TRUE,1
405,Jennette,Roblin,MacRitchie,8/26/2019,till date,TRUE,1
406,Dale,Penwright,Dana,6/15/2019,till date,TRUE,1
407,Vivianna,Farington,Valadez,7/14/2019,till date,TRUE,1
408,,,,4/19/2020,till date,TRUE,1
409,Adoree,Selesnick,Darton,5/16/2020,till date,TRUE,1
410,Filia,Duiguid,Braybrook,12/2/2019,till date,TRUE,1
411,Giovanni,Dachey,Queste,12/15/2019,till date,TRUE,1
412,Holly,Geary,Burniston,10/22/2019,till date,TRUE,1
413,Calida,Padkin,Banke,2/11/2020,till date,TRUE,1
414,Pierrette,Meyrick,Cahan,7/23/2019,till date,TRUE,1
415,Brocky,Jacquemard,Benoiton,5/28/2019,till date,TRUE,1
416,Giacinta,Rayer,Pozer,5/26/2019,till date,TRUE,1
417,Camile,Hickin,Anderer,5/16/2020,till date,TRUE,1
418,Hamilton,Prendeville,Coils,8/17/2019,till date,TRUE,1
419,Christyna,Duinbleton,Dennett,10/15/2019,till date,TRUE,1
420,Alisun,Renad,Ricard,6/8/2019,till date,TRUE,1
421,Ruthie,Frearson,Caddick,12/2/2019,till date,TRUE,1
422,Jemie,Fetherstonhaugh,Heselwood,11/6/2019,till date,TRUE,1
423,Cristin,Darlasson,Lovick,9/12/2019,till date,TRUE,1
424,Delores,Doel,Maciaszek,1/6/2020,till date,TRUE,1
425,Sidonia,Goatcher,Sambrook,3/3/2020,till date,TRUE,1
426,Witty,Bucklee,Hartlebury,5/13/2020,till date,TRUE,1
427,Minny,Dewer,Corry,1/12/2020,till date,TRUE,1
428,Dallas,Grove,Kann,2/22/2020,till date,TRUE,1
429,Wynne,Zimmermanns,Kempstone,8/2/2019,till date,TRUE,1
430,Papagena,Klimaszewski,Stanway,12/9/2019,till date,TRUE,1
